product_name,star,category,price,location,store,description,image_urls
OCOP Trà Vinh - Yến chưng đông trùng hạ thảo Gia Lộc Hưng (Combo 4 hũ x 70ml/hũ),3,Thực phẩm,180.000đ,Trà Vinh,ĐTN BƯU ĐIỆN TỈNH TRÀ VINH,"Yến và đông trùng hạ thảo có nhiều tác dụng rất tốt đối với cơ thể của con người. Tác dụng của yến chưng đông trùng hạ thảo là một sự kết hợp tác dụng giữa loại đông dược quý hiếm cùng với tổ yến bổ dưỡng. Đây được xem như một loại thuốc quý trong dân gian lưu truyền dùng để bồi bổ rất tốt cho cơ thể của chúng ta. Yến chưng Đông Trùng Hạ Thảo có tác dụng giải nhiệt, bổ phổi, ích thận, bảo vệ các cơ quan gan, tì và tăng cường sức khỏe, nâng cao sức đề kháng, hệ miễn dịch, giúp cải thiện tình trạng bệnh cho người đang mắc bệnh, giúp phục hồi sức khỏe nhanh chóng cho người mới ốm dậy.","['https://dyh48pub5c8mm.cloudfront.net/home/store/goods/508/20230708/alioss_508_2023070819503453842.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/508/20230708/alioss_508_2023070819504570260.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/508/20231213/alioss_508_2023121314292680042.jpg']"
OCOP - Yến Sào Dương Quang - 100gr,3,Thực phẩm,1.800.000đ,Bình Phước,Yến Sào Dương Quang,"Yến sào, dinh dưỡng cho mọi lứa tuổi Yến sào không chỉ là thực phẩm dành cho người già, người bệnh Tổ yến còn là dinh dưỡng cần thiết và phù hợp cho mọi lứa tuổi. Chứa đến 18 loại acid và nhiều nguyên tố vi lượng, yến sào là dinh dưỡng không thể thiếu của cả gia đình. Ông bà ăn yến thường xuyên để kích thích tiêu hóa, ăn ngon, ngủ tốt hơn. Bố dùng yến sào để tăng cường trí nhớ, giảm căng thẳng sau những giờ làm việc dài hơi. Mẹ ăn chè yến, cháo yến để có một làn da săn chắc, trắng sáng, cơ thể khỏe mạnh. Các con đi làm đi học uống nước yến tươi cho một ngày đầy năng lượng. Em bé ăn các các món từ yến để nâng cao hệ miễn dịch, phát triển thể trạng. Người mới ốm dậy, sau phẫu thuật nhờ yến mà phục hồi sức khỏe, phục hồi các tổn thương. Vì thế, dù ở lứa tuổi nào, hãy dùng yến như một thói quen tốt cho sức khỏe. Dùng đều đặn từ 2 – 4 ngày trong một tuần. ăn yến là cơ thể sẽ mạnh khỏe, chẳng lo đau ốm!","['https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1604/20231201/alioss_1604_2023120115550525853.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1604/20231201/alioss_1604_2023120115580894697.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1604/20231201/alioss_1604_2023120116004654619.jpg']"
OCOP Bình Định - Yến sào Tôn Thủy - Hộp 100gram,4,Thực phẩm,4.500.000đ,Bình Định,BĐT Bình Định,"Yến sào Tôn Thủy là một thương hiệu nổi tiếng về sản phẩm yến sào. Yến sào là một loại nguyên liệu quý hiếm được thu thập từ tổ chim yến, và nó được coi là một trong những loại yến chất lượng cao. Yến sào Tôn Thủy cam kết cung cấp các sản phẩm yến sào chất lượng, đảm bảo an toàn vệ sinh thực phẩm và giá trị dinh dưỡng cao. Sản phẩm của họ có thể được tìm thấy trong các cửa hàng dinh dưỡng hoặc trực tuyến. Yến sào là nguồn cung cấp protein, collagen và các dưỡng chất thiết yếu khác như amino axit, khoáng chất và vitamin. Nó có nhiều lợi ích cho sức khỏe như tăng cường hệ miễn dịch, bồi bổ da và tăng cường sinh lực. Khi mua sản phẩm yến sào Tôn Thủy hoặc bất kỳ sản phẩm yến nào khác, bạn nên kiểm tra thông tin về xuất xứ, quy trình sản xuất và thành phần để đảm bảo tính an toàn và chất lượng của sản phẩm.","['https://dyh48pub5c8mm.cloudfront.net/home/store/goods/11/20231124/alioss_11_2023112407430132212.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/11/20230725/alioss_11_2023072509181378019.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/11/20231123/alioss_11_2023112316403433585.jpg']"
OCOP - Chân yến tinh Dương Quang - 100gr,3,Thực phẩm,3.400.000đ,Bình Phước,Yến Sào Dương Quang,"Yến Sào Dương Quang Yến sào ngày nay đã trở nên quen thuộc với nhiều gia đình Việt. Tổ yến nhà: Chim yến được nuôi tại các nhà yến nhưng đi kiếm ăn trong tự nhiên nên có dinh dưỡng tương đương, chỉ khác về màu sắc của sợi yến! Yến sào có lợi cho sức khỏe không chỉ của người già, người bệnh mà còn với phụ nữ, trẻ em, thanh thiếu niên, đàn ông. Người trung niên BẠN CÓ THỰC SỰ BỒI BỔ CHO TRẺ HAY ĐANG GÂY ÁP LỰC ĂN UỐNG? Ba mẹ thường ép buộc con cái ăn nhiều món với hy vọng con có thể cao lớn và có thể trạng tốt hơn. Tuy nhiên, điều này lại vô tình khiến trẻ giảm khả năng hấp thu mà tệ hơn còn khiến trẻ lo sợ khi đến giờ ăn dẫn đến tình trạng khóc lóc, nôn ói Bạn đừng lo lắng vì DƯƠNG QUANG có bí quyết giúp mẹ đây!! Đầu tiên bạn cần thường xuyên thay đổi, đa dạng món ăn giúp trẻ tiếp thu đầy đủ dưỡng chất, cân bằng tỷ lệ tinh bột, đạm, chất xơ…nhưng mẹ không nên ép bé ăn những món trẻ không thích. Tiếp đến, bạn có thể kích thích cảm giác thèm ăn một cách tự nhiên thông qua món ăn có chứa chất Phenylalanine. Chẳng hạn như yến sào vừa sở hữu chất Phenylalanine vừa cung cấp lượng đạm cao, ít béo giúp kích thích sự tăng trưởng và khả năng miễn dịch của trẻ. Chỉ với thành phần yến tươi, mẹ có thể đa dạng các món ăn như chè yến, cháo yến hay đơn giản hơn là cho bé tráng miệng bằng nước yến tươi nguyên chất. Hãy lưu ý rằng sức khỏe của bé quan trọng hơn cân nặng. Vì thế đừng gây áp lực ăn uống lên bé để tránh gây tác dụng không mong muốn. Nếu ba mẹ bận rộn không có thời gian chế biến các món yến công phu thì có thể ghé Yến Sào DƯƠNG QUANG để được tư vấn và chọn mua những món yến phù hợp với bé nhà mình nhé!","['https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1604/20231201/alioss_1604_2023120116052645941.PNG', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1604/20231201/alioss_1604_2023120116075592202.jpg']"
OCOP - Yến tinh Dương Quang - 100gr,3,Thực phẩm,3.000.000đ,Bình Phước,Yến Sào Dương Quang,"Yến Sào Dương Quang NẠP THÊM NĂNG LƯỢNG – SẴN SÀNG CHIẾN ĐẤU Chắc chắn tất cả chúng ta đều đã trở lại với công việc rồi đúng không nè?! Và các em nhỏ cũng đã được đến trường Đừng quên bổ sung 1 đến 2 lọ nước yến nhà DƯƠNG QUANG mỗi ngày, để cơ thể luôn tràn đầy năng lượng, sẵn sàng đón nhận thử thách và hoàn thành tất cả các kế hoạch trong năm mới này bạn nhé. Tổ yến chứa 42,8–54,9% protein, nhiều glucose, các acid amin cần thiết khó thay thế: cystein, phenyllamin, tyrosin… các vitamin B, C, E, PP, các muối natri, sắt, phosphor và các nguyên tố vi lượng. Chính vì thế, yến sào có công dụng đào thải độc tố, thanh lọc cơ thể cực tốt, giúp tăng cường sức khỏe, tăng cường đề kháng, ngăn ngừa các bệnh hiệu quả","['https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1604/20231201/alioss_1604_2023120116085346601.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1604/20231201/alioss_1604_2023120116102877608.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1604/20231201/alioss_1604_2023120116103352450.jpg']"
OCOP - Set 6 yến hũ chưng sẵn Anna (70ml) - Đường phèn,4,Thực phẩm,270.000đ,Thừa Thiên Huế,Công ty TNHH Sản Xuất Yến Sào Xứ Huế Anna,"Yến Sào Anna cung cấp cho thị trường những sản phẩm yến sào thiên nhiên 100%, tươi mới và nguyên chất nhất, không chứa chất phụ gia, chất bảo quản, phẩm màu hay bất kì một loại hóa chất nào. Các sản phẩm ở đây đều trải qua quy trình kiểm định khoa học & khắt khe nên tất cả các sản phẩm đến tay khách hàng đều đạt chuẩn cao. Chính vì vậy, khách hàng hoàn toàn an tâm về chất lượng khi mua yến sào tại Yến Sào Anna. - Với phương châm “SỨC KHỎE LÀ VÀNG – CHẤT LƯỢNG UY TÍN TẠO NÊN THƯƠNG HIỆU“, chúng tôi đang nổ lực không ngừng để có thể đem lại những sản phẩm yến sào với chất lượng tốt nhất, một dịch vụ hoàn hảo nhất bằng cả tấm lòng của toàn thể nhân viên để khách hàng có thể tin tưởng tuyệt đối vào Yến Sào Anna chúng tôi.","['https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1516/20240507/s3_1516_2024050711391930360.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1516/20240507/s3_1516_2024050711392371057.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1516/20240507/s3_1516_2024050711392830451.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1516/20240507/s3_1516_2024050711393381669.jpg']"
OCOP - Yến hũ chưng sẵn Anna - Yến chưng đường phèn 100g,4,Thực phẩm,45.000đ,Thừa Thiên Huế,Công ty TNHH Sản Xuất Yến Sào Xứ Huế Anna,"Yến sào Anna - Yên chưng đường phèn - Thành phần: Nước tinh khiết, đường phèn, yến tươi nguyên chất 30% - Công dụng: Chỉ cần hai nguyên liệu là yến và đường phèn đã cho ra một hũ yến chưng chất lượng, bổ dưỡng. Giúp mẹ giảm nếp nhăn, dưỡng nhan, tăng cường độ ẩm. Giúp bố thư giãn đầu óc, tránh căng thẳng, mệt mỏi. Giúp bé ăn ngon ngủ ngoan, phát triển lanh lợi. Giúp ông bà thoải mái, ngủ sâu giấc. - Phù hợp cho trẻ từ 1 tuổi đến người già. - Không nên dùng cho phụ nữ mang thai 3 tháng đầu và sau sinh 1 tháng.",['https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1516/20231122/alioss_1516_2023112216263184491.jpg']
OCOP - Yến Sạch Xuất Khẩu (Hộp 100 Gram),4,Thực phẩm,6.700.000đ,Tây Ninh,YẾN SÀO YẾN LOAN,"Yến sạch Xuất Khẩu, nguyên liệu là những tổ yến to nhất, sạch nhất và đẹp nhất trong đợt khai thác tổ. Toàn bộ tổ yến là những sợi yến dài, dày, thơm ngon. Đây là dòng sản phẩm phù hợp với những khách hàng sành ăn, dùng làm quà biếu thể hiện tình cảm trân trọng. Công dụng: Tăng cường sức đề kháng, phục hồi sức khỏe nhanh sau mổ, vận động nặng; Tăng cường chất đạm không nhân Purin phù hợp với người bệnh Gut; Bổ sung Axit Amin thiết yếu giúp ổn định đường huyết; Thúc đẩy quá trình tái tạo tế bào, trẻ hóa từ bên trong đặc biệt tốt cho phụ nữ; Hỗ trợ tiêu hóa, ăn ngon, ngủ ngon, nâng cao thể trạng và trí não. Cách dùng : Ngâm yến với nước lạnh/ ấm 20-30 phút trước khi chế biến; Chưng cách thủy với lửa nhỏ trong 30-35 phút; Đậy nắp suốt quá trình chưng yến; Tắt bếp cho đường phèn; Dùng nóng hoặc để nguội cho vào tủ lạnh. Liều dùng : Người lớn tối đa 7g yến/ ngày; Trẻ em trên 1 tuổi tối đa 3g yến/ ngày. Khối lượng tịnh : 100g Bảo quản nơi khô ráo, tránh ánh nắng mặt trời; Sử dụng trong vòng 2 năm kể từ ngày sản xuất . Lưu ý Yến sào Yến Loan: Em bé dưới 6 tháng, và bà bầu dưới 3 tháng khi sử dụng yến sào cần có ý kiến của Bác sĩ.","['https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1755/20231202/alioss_1755_2023120214462726380.png', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1755/20231202/alioss_1755_2023120214471345934.webp', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1755/20231202/alioss_1755_2023120214192160697.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1755/20231202/alioss_1755_2023120214472358612.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1755/20231202/alioss_1755_2023120214195076776.png']"
OCOP - Yến Sạch Thượng Hạng (Hộp 100 Gram),4,Thực phẩm,6.500.000đ,Tây Ninh,YẾN SÀO YẾN LOAN,"Yến nguyên tổ rút lông là dòng sản phẩm yến Thượng hạng của Yến sào Yến Loan – thương hiệu yến sào hàng đầu của Tây Ninh. Nguyên liệu là những tổ yến to, sạch và đẹp mắt trong đợt khai thác tổ. Người thợ nhặt yến dùng cách phun sương để làm mềm tổ yến, gắp sạch lông và tạp chất nhưng vẫn giữ được nguyên vẹn tổ yến, bao gồm cả những sợi yến to, dài, tổ yến có chân yến. Đây là dòng sản phẩm phù hợp với những khách hàng sành ăn. Công dụng: Tăng cường sức đề kháng, phục hồi sức khỏe nhanh sau mổ, vận động nặng; Tăng cường chất đạm không nhân Purin phù hợp với người bệnh Gut; Bổ sung Axit Amin thiết yếu giúp ổn định đường huyết; Thúc đẩy quá trình tái tạo tế bào, trẻ hóa từ bên trong đặc biệt tốt cho phụ nữ; Hỗ trợ tiêu hóa, ăn ngon, ngủ ngon, nâng cao thể trạng và trí não. Cách dùng : Ngâm yến với nước lạnh/ ấm 20-30 phút trước khi chế biến; Chưng cách thủy với lửa nhỏ trong 30-35 phút; Đậy nắp suốt quá trình chưng yến; Tắt bếp cho đường phèn; Dùng nóng hoặc để nguội cho vào tủ lạnh. Liều dùng : Người lớn tối đa 7g yến/ ngày; Trẻ em trên 1 tuổi tối đa 3g yến/ ngày. Khối lượng tịnh : 100g Bảo quản nơi khô ráo, tránh ánh nắng mặt trời; Sử dụng trong vòng 2 năm kể từ ngày sản xuất . Lưu ý Yến sào Yến Loan: Em bé dưới 6 tháng, và bà bầu dưới 3 tháng khi sử dụng yến sào cần có ý kiến của Bác sĩ. - Yến Loan cam kết đền bù gấp 10 lần giá trị khi khách hàng phát hiện và chứng minh được sự gian dối trong những cam kết về chất lượng sản phẩm của Yến Loan!","['https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1755/20231202/alioss_1755_2023120214301894556.webp', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1755/20231202/alioss_1755_2023120214192160697.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1755/20231202/alioss_1755_2023120214304185721.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1755/20231202/alioss_1755_2023120214304553026.jpg', 'https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1755/20231202/alioss_1755_2023120214304934863.jpg']"
OCOP - Yến hũ chưng sẵn Anna - Yến hũ Anna Kids (70ml),4,Thực phẩm,45.000đ,Thừa Thiên Huế,Công ty TNHH Sản Xuất Yến Sào Xứ Huế Anna,"Yến hũ chưng sẵn Anna Kids Với công thức 100% yến sào nguyên chất có trong lọ yến hũ chưng sẵn 9 gram, chưng cất cách thủy cùng với nước tinh khiết, đường phèn, các nguyên liệu chất lượng từ thiên nhiên, không chất bảo quản. Phù hợp cho trẻ em ở mọi lứa tuổi, kích thích trẻ thèm ăn, ăn ngon. Yến hũ chưng sẵn rất tiện lợi trong việc di chuyển xa, nhà có trẻ em sẽ kích thích hứng thú vì thiết kế bắt mắt cho trẻ em, là một giải pháp để bổ sung chất dinh dưỡng cần thiết cho trẻ em Sản phẩm có 2 loại, với vị cam và dâu đặc trưng, cho bạn nhiều sự lựa chọn Công dụng - Tốt cho hệ tiêu hóa, ăn ngon cho con yêu của mình - Bảo quản dễ dàng và chăm sóc sức khoẻ cho con yêu toàn diện Cách sử dụng – Uống trực tiếp từ lọ – Uống từ 1-2 lọ/ ngày. – Thích hợp cho mọi độ tuổi. – Phải sử dụng hết khi mở nắp. – Lắc nhẹ trước khi uống, ngon hơn khi uống lạnh, tốt hơn khi dùng vào buổi sáng sớm hoặc trước lúc đi ngủ.",['https://dyh48pub5c8mm.cloudfront.net/home/store/goods/1516/20231122/alioss_1516_2023112215490975360.jpg']
